f0_,status,f1_
08h 24,refunded,2
08h 24,denied,17
08h 25,denied,23
08h 25,refunded,1
08h 25,reversed,1
08h 25,approved,151
08h 26,refunded,1
08h 26,denied,10
08h 26,approved,164
08h 27,denied,13
08h 27,reversed,2
08h 27,approved,147
08h 28,approved,153
08h 28,denied,21
08h 28,refunded,1
08h 29,approved,171
08h 29,denied,20
08h 29,refunded,2
08h 30,refunded,1
08h 30,denied,20
08h 30,approved,179
08h 30,reversed,3
08h 31,approved,198
08h 31,denied,25
08h 31,refunded,1
08h 32,denied,19
08h 32,reversed,1
08h 32,approved,206
08h 33,echo,3
08h 33,approved,181
08h 33,denied,21
08h 33,reversed,3
08h 34,denied,22
08h 34,reversed,3
08h 34,approved,173
08h 35,reversed,1
08h 35,denied,21
08h 35,approved,173
08h 36,denied,13
08h 36,approved,176
08h 36,reversed,1
08h 37,reversed,1
08h 37,denied,14
08h 37,approved,207
08h 38,approved,221
08h 38,denied,24
08h 38,backend_reversed,1
08h 38,reversed,1
08h 39,approved,173
08h 39,refunded,1
08h 39,denied,23
08h 39,reversed,1
08h 40,reversed,1
08h 40,denied,18
08h 40,approved,192
08h 40,refunded,1
08h 41,refunded,1
08h 41,reversed,2
08h 41,approved,189
08h 41,denied,22
08h 42,approved,215
08h 42,reversed,1
08h 42,denied,26
08h 43,approved,204
08h 43,denied,21
08h 44,approved,207
08h 44,backend_reversed,1
08h 44,denied,18
08h 45,denied,29
08h 45,approved,192
08h 45,reversed,1
08h 46,denied,25
08h 46,reversed,3
08h 46,approved,195
08h 47,refunded,1
08h 47,denied,26
08h 47,approved,213
08h 48,approved,229
08h 48,denied,25
08h 48,refunded,2
08h 48,echo,3
08h 48,reversed,1
08h 49,echo,3
08h 49,refunded,1
08h 49,approved,214
08h 49,denied,30
08h 50,denied,25
08h 50,approved,222
08h 50,reversed,3
08h 50,refunded,1
08h 51,refunded,2
08h 51,approved,231
08h 51,denied,29
08h 52,reversed,4
08h 52,backend_reversed,1
08h 52,approved,199
08h 52,denied,34
08h 53,reversed,2
08h 53,denied,24
08h 53,approved,246
08h 53,refunded,1
08h 54,denied,38
08h 54,approved,227
08h 55,approved,223
08h 55,echo,3
08h 55,reversed,1
08h 55,refunded,1
08h 55,denied,22
08h 56,approved,220
08h 56,denied,16
08h 56,refunded,1
08h 57,denied,21
08h 57,approved,219
08h 58,denied,20
08h 58,approved,226
08h 58,reversed,1
08h 59,approved,232
08h 59,denied,22
09h 00,approved,241
09h 00,denied,26
09h 01,approved,242
09h 01,denied,25
09h 02,approved,223
09h 02,denied,20
09h 02,reversed,1
09h 02,refunded,2
09h 03,reversed,1
09h 03,approved,255
09h 03,denied,25
09h 04,denied,27
09h 04,reversed,2
09h 04,approved,244
09h 05,denied,31
09h 05,refunded,2
09h 05,approved,247
09h 05,reversed,2
09h 06,denied,32
09h 06,approved,274
09h 07,reversed,2
09h 07,approved,256
09h 07,refunded,1
09h 07,denied,24
09h 08,approved,253
09h 08,reversed,1
09h 08,denied,37
09h 09,denied,21
09h 09,reversed,1
09h 09,approved,242
09h 10,approved,281
09h 10,denied,25
09h 11,denied,26
09h 11,reversed,1
09h 11,refunded,2
09h 11,echo,3
09h 11,approved,220
09h 12,approved,246
09h 12,denied,27
09h 12,reversed,1
09h 13,denied,35
09h 13,reversed,2
09h 13,approved,270
09h 14,approved,272
09h 14,denied,33
09h 15,reversed,1
09h 15,denied,39
09h 15,approved,249
09h 16,denied,37
09h 16,approved,276
09h 16,reversed,2
09h 17,approved,271
09h 17,denied,44
09h 18,reversed,1
09h 18,denied,25
09h 18,approved,297
09h 19,refunded,2
09h 19,approved,284
09h 19,reversed,2
09h 19,denied,25
09h 20,denied,30
09h 20,approved,282
09h 20,reversed,1
09h 21,denied,36
09h 21,approved,323
09h 21,reversed,1
09h 22,refunded,1
09h 22,approved,287
09h 22,denied,24
09h 23,reversed,1
09h 23,denied,41
09h 23,approved,292
09h 24,refunded,1
09h 24,reversed,1
09h 24,denied,30
09h 24,approved,282
09h 25,reversed,3
09h 25,approved,284
09h 25,denied,28
09h 25,echo,3
09h 26,reversed,2
09h 26,approved,306
09h 26,denied,26
09h 27,approved,312
09h 27,denied,37
09h 28,approved,291
09h 28,reversed,3
09h 28,denied,32
09h 29,approved,296
09h 29,denied,34
09h 29,reversed,3
09h 30,approved,310
09h 30,denied,42
09h 31,approved,272
09h 31,reversed,1
09h 31,refunded,1
09h 31,denied,41
09h 32,approved,308
09h 32,reversed,2
09h 32,denied,41
09h 33,denied,54
09h 33,approved,291
09h 33,refunded,2
09h 33,reversed,1
09h 34,approved,317
09h 34,denied,33
09h 34,reversed,2
09h 34,refunded,2
09h 35,backend_reversed,1
09h 35,approved,279
09h 35,denied,44
09h 36,reversed,2
09h 36,approved,323
09h 36,denied,51
09h 37,approved,311
09h 37,denied,43
09h 37,reversed,2
09h 38,refunded,2
09h 38,backend_reversed,1
09h 38,approved,299
09h 38,reversed,1
09h 38,denied,43
09h 39,denied,38
09h 39,reversed,4
09h 39,approved,334
09h 40,approved,336
09h 40,denied,28
09h 40,echo,3
09h 40,reversed,2
09h 41,refunded,3
09h 41,denied,24
09h 41,approved,311
09h 41,reversed,2
09h 42,approved,342
09h 42,denied,46
09h 42,refunded,3
09h 43,reversed,1
09h 43,refunded,1
09h 43,denied,31
09h 43,approved,318
09h 44,refunded,1
09h 44,reversed,3
09h 44,approved,291
09h 44,denied,37
09h 45,approved,322
09h 45,reversed,3
09h 45,backend_reversed,1
09h 45,denied,45
09h 45,refunded,2
09h 46,denied,27
09h 46,approved,317
09h 46,reversed,2
09h 47,denied,44
09h 47,reversed,3
09h 47,approved,340
09h 48,approved,345
09h 48,denied,38
09h 48,reversed,4
09h 48,refunded,2
09h 49,approved,300
09h 49,refunded,5
09h 49,denied,31
09h 49,reversed,3
09h 50,refunded,3
09h 50,denied,39
09h 50,reversed,1
09h 50,approved,330
09h 51,reversed,2
09h 51,denied,36
09h 51,refunded,1
09h 51,approved,330
09h 52,reversed,1
09h 52,approved,325
09h 52,denied,33
09h 52,refunded,1
09h 53,denied,29
09h 53,reversed,1
09h 53,approved,364
09h 54,reversed,2
09h 54,denied,34
09h 54,approved,330
09h 54,backend_reversed,1
09h 55,echo,3
09h 55,denied,40
09h 55,approved,330
09h 55,reversed,1
09h 56,refunded,2
09h 56,approved,399
09h 56,denied,26
09h 57,denied,45
09h 57,approved,319
09h 57,reversed,1
09h 58,denied,37
09h 58,refunded,2
09h 58,approved,348
09h 59,denied,33
09h 59,refunded,1
09h 59,approved,347
09h 59,reversed,1
10h 00,denied,34
10h 00,approved,345
10h 00,reversed,1
10h 00,refunded,2
10h 01,denied,28
10h 01,approved,332
10h 01,reversed,2
10h 02,approved,344
10h 02,reversed,4
10h 02,refunded,1
10h 02,denied,30
10h 03,backend_reversed,1
10h 03,approved,330
10h 03,refunded,1
10h 03,denied,46
10h 03,reversed,2
10h 04,refunded,1
10h 04,backend_reversed,2
10h 04,reversed,3
10h 04,approved,358
10h 04,denied,48
10h 05,denied,36
10h 05,reversed,5
10h 05,refunded,1
10h 05,approved,342
10h 06,denied,35
10h 06,approved,320
10h 06,refunded,1
10h 06,reversed,1
10h 07,approved,341
10h 07,denied,42
10h 07,reversed,1
10h 08,refunded,2
10h 08,backend_reversed,1
10h 08,denied,46
10h 08,reversed,4
10h 08,approved,347
10h 09,denied,37
10h 09,reversed,6
10h 09,backend_reversed,1
10h 09,approved,325
10h 10,refunded,2
10h 10,reversed,2
10h 10,backend_reversed,1
10h 10,approved,378
10h 10,echo,3
10h 10,denied,38
10h 11,denied,32
10h 11,approved,333
10h 12,approved,352
10h 12,reversed,1
10h 12,denied,30
10h 13,denied,50
10h 13,approved,329
10h 13,refunded,1
10h 13,reversed,2
10h 14,denied,37
10h 14,reversed,3
10h 14,refunded,2
10h 14,approved,370
10h 15,refunded,1
10h 15,backend_reversed,2
10h 15,approved,367
10h 15,denied,40
10h 16,reversed,1
10h 16,refunded,1
10h 16,approved,336
10h 16,denied,40
10h 17,approved,331
10h 17,reversed,3
10h 17,denied,35
10h 17,refunded,2
10h 18,reversed,3
10h 18,refunded,1
10h 18,approved,352
10h 18,denied,51
10h 19,reversed,3
10h 19,refunded,2
10h 19,approved,344
10h 19,denied,51
10h 20,refunded,1
10h 20,approved,341
10h 20,denied,55
10h 20,reversed,3
10h 21,approved,348
10h 21,denied,51
10h 21,reversed,4
10h 21,refunded,1
10h 22,approved,339
10h 22,denied,42
10h 22,refunded,2
10h 22,reversed,4
10h 23,denied,41
10h 23,approved,356
10h 23,refunded,1
10h 23,reversed,2
10h 24,denied,33
10h 24,refunded,1
10h 24,approved,354
10h 25,reversed,1
10h 25,denied,44
10h 25,refunded,1
10h 25,echo,3
10h 25,approved,362
10h 26,reversed,1
10h 26,approved,372
10h 26,denied,53
10h 26,refunded,2
10h 26,echo,3
10h 27,denied,47
10h 27,approved,339
10h 28,reversed,2
10h 28,backend_reversed,2
10h 28,denied,46
10h 28,approved,380
10h 29,refunded,1
10h 29,denied,61
10h 29,reversed,1
10h 29,approved,351
10h 30,approved,331
10h 30,refunded,1
10h 30,denied,49
10h 30,reversed,1
10h 31,reversed,2
10h 31,denied,52
10h 31,refunded,2
10h 31,approved,370
10h 32,denied,35
10h 32,reversed,1
10h 32,approved,361
10h 32,backend_reversed,1
10h 33,denied,42
10h 33,reversed,2
10h 33,approved,370
10h 33,refunded,1
10h 33,backend_reversed,1
10h 34,approved,386
10h 34,reversed,2
10h 34,backend_reversed,1
10h 34,denied,37
10h 34,refunded,2
10h 35,denied,42
10h 35,approved,347
10h 35,reversed,1
10h 36,approved,373
10h 36,refunded,1
10h 36,reversed,2
10h 36,denied,33
10h 37,approved,376
10h 37,reversed,4
10h 37,echo,3
10h 37,denied,53
10h 37,refunded,1
10h 38,approved,360
10h 38,denied,34
10h 39,approved,345
10h 39,backend_reversed,1
10h 39,reversed,3
10h 39,denied,38
10h 40,approved,361
10h 40,refunded,1
10h 40,denied,31
10h 40,backend_reversed,3
10h 41,reversed,2
10h 41,denied,26
10h 41,approved,370
10h 42,reversed,4
10h 42,denied,45
10h 42,approved,332
10h 42,backend_reversed,2
10h 42,refunded,2
10h 43,refunded,1
10h 43,denied,41
10h 43,approved,393
10h 43,backend_reversed,1
10h 44,approved,349
10h 44,reversed,4
10h 44,denied,41
10h 45,reversed,1
10h 45,approved,362
10h 45,denied,34
10h 45,backend_reversed,1
10h 46,approved,341
10h 46,reversed,4
10h 46,denied,38
10h 47,denied,44
10h 47,refunded,1
10h 47,reversed,3
10h 47,approved,369
10h 48,denied,44
10h 48,approved,385
10h 49,approved,343
10h 49,reversed,3
10h 49,denied,32
10h 49,refunded,3
10h 50,denied,36
10h 50,approved,381
10h 50,reversed,2
10h 51,denied,55
10h 51,reversed,1
