horario,approved,backend_reversed,denied,echo,failed,processing,refunded,reversed
11 40,349.0,,40.0,,,,,
11 41,365.0,1.0,43.0,,,,2.0,4.0
11 42,369.0,1.0,42.0,,,,2.0,
11 43,350.0,,40.0,,,,,2.0
11 44,402.0,1.0,42.0,,,,3.0,4.0
11 45,395.0,,35.0,,,,2.0,1.0
11 46,403.0,,43.0,,,,2.0,2.0
11 47,362.0,1.0,44.0,,,,1.0,2.0
11 48,391.0,1.0,39.0,,,,,1.0
11 49,360.0,,46.0,,,,,3.0
11 50,377.0,1.0,46.0,,,,1.0,3.0
11 51,344.0,,43.0,,,,,3.0
11 52,366.0,,56.0,,,,2.0,1.0
11 53,376.0,,45.0,3.0,,,,1.0
11 54,349.0,2.0,55.0,3.0,,,2.0,7.0
11 55,341.0,1.0,50.0,,,,,2.0
11 56,357.0,,44.0,,,,3.0,
11 57,352.0,1.0,40.0,,,,,3.0
11 58,343.0,,40.0,,,,,2.0
11 59,341.0,,36.0,,,,1.0,1.0
12 00,360.0,,42.0,,,,,2.0
12 01,335.0,,32.0,,,,,2.0
12 02,348.0,,38.0,,,,1.0,1.0
12 03,362.0,,43.0,,,,2.0,7.0
12 04,378.0,,38.0,,,,1.0,
12 05,331.0,,54.0,,,,1.0,2.0
12 06,333.0,,48.0,,,,1.0,5.0
12 07,332.0,,37.0,,,,,2.0
12 08,337.0,,39.0,3.0,,,2.0,1.0
12 09,335.0,,45.0,,,,,4.0
12 10,315.0,,36.0,,,,2.0,1.0
12 11,348.0,,50.0,,,,,2.0
12 12,365.0,,44.0,,,,,1.0
12 13,344.0,,43.0,,,,2.0,1.0
12 14,300.0,,34.0,,,,,2.0
12 15,305.0,,37.0,,,,,2.0
12 16,344.0,,39.0,,,,,3.0
12 17,324.0,,26.0,,,,2.0,2.0
12 18,293.0,,28.0,,,,,2.0
12 19,329.0,1.0,33.0,,,,,2.0
12 20,311.0,,41.0,,,,,2.0
12 21,292.0,1.0,34.0,,,,1.0,3.0
12 22,281.0,1.0,37.0,3.0,,,,2.0
12 23,301.0,1.0,37.0,,,,1.0,
12 24,330.0,1.0,44.0,,,,,1.0
12 25,309.0,,26.0,,,,1.0,1.0
12 26,316.0,,26.0,,,,2.0,
12 27,305.0,,34.0,,,,1.0,3.0
12 28,291.0,,29.0,,,,,1.0
12 29,313.0,1.0,43.0,,,,,2.0
12 30,316.0,,27.0,,,,,2.0
12 31,285.0,,38.0,,,,,
12 32,308.0,,34.0,,,,1.0,1.0
12 33,288.0,1.0,27.0,,,,1.0,1.0
12 34,274.0,,37.0,,,,1.0,1.0
12 35,299.0,1.0,45.0,,,,,2.0
12 36,280.0,,38.0,,,,1.0,
12 37,267.0,,35.0,3.0,,,,1.0
12 38,269.0,,31.0,,,,2.0,2.0
12 39,293.0,,30.0,,,,2.0,1.0
12 40,280.0,,20.0,,,,2.0,
12 41,274.0,,26.0,,,,1.0,1.0
12 42,296.0,,28.0,,,,1.0,
12 43,271.0,,36.0,,,,,1.0
12 44,284.0,,34.0,,,,,
12 45,298.0,,28.0,,,,2.0,1.0
12 46,294.0,,36.0,,,,,
12 47,254.0,,31.0,,,,,
12 48,312.0,,26.0,,,,1.0,1.0
